Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments,SpreadsheetColumnParentKey,SpreadsheetRowParentKey
1,Document,,,,,,,,,Draft,Cloud Architecture,,,,
2,Page,,,,,,,,,,Page 1,,,,
3,Rectangle Container,Flowchart Shapes/Containers,2,,,,,,,,CI/CD Pipeline,,,,
4,Virtual private cloud (VPC),AWS,2,8,,,,,,,Virtual private cloud (VPC),,,,
5,Public subnet,AWS,2,4|8,,,,,,,Public subnet,,,,
6,Security group,AWS,2,4|5|8,,,,,,,ALB Security group,,,,
7,Auto Scaling group,AWS,2,4|5|8,,,,,,,Auto Scaling group,,,,
8,AWS Cloud,AWS 2019,2,,,,,,,,AWS Cloud,,,,
9,Private subnet,AWS,2,4|8,,,,,,,Private subnet,,,,
10,Security group,AWS,2,4|8|9,,,,,,,RDS Security group,,,,
11,Security group,AWS,2,4|5|7|8,,,,,,,EC2 Security group,,,,
12,Amazon Route 53,AWS,2,8,,,,,,,Route53,,,COLUMN,ROW
13,Internet gateway,AWS,2,4|8,,,,,,,Internet Gateway,,,COLUMN,ROW
14,AWS Certificate Manager (ACM),AWS,2,4|8,,,,,,,AWS Certificate Manager (ACM),,,,
15,Application Load Balancer,AWS,2,4|5|6|8,,,,,,,Application Load Balancer,,,COLUMN,ROW
16,NAT gateway,AWS,2,4|5|8,,,,,,,,,,,
17,Amazon RDS,AWS,2,4|8|9|10,,,,,,,Amazon RDS,,,,
18,Amazon CloudWatch,AWS,2,4|8,,,,,,,Amazon CloudWatch,,,,
19,Amazon Simple Storage Service (Amazon S3),AWS,2,4|8,,,,,,,Amazon Simple Storage Service (Amazon S3),,,,
20,Amazon EC2,AWS,2,4|5|7|8|11,,,,,,,Amazon EC2,,,,
21,Amazon EC2,AWS,2,4|5|7|8|11,,,,,,,Amazon EC2,,,,
22,CloudWatch Alarm,AWS 2021,2,4|8,,,,,,,CloudWatch Alarm,,,,
23,IAM,AWS 2017,2,4|8|9|10,,,,,,,rds_key,,,,
24,GitHub,Azure 2015,2,3,,,,,,,GitHub,,,,
25,Process,Flowchart Shapes/Containers,2,3,,,,,,,Code Pushed,,,,
26,Git repository,AWS,2,3,,,,,,,Git repository,,,,
27,ImageSearchBlock2,Standard,2,3,,,,,,,,,,,
28,Process,Flowchart Shapes/Containers,2,3,,,,,,,Run Tests,,,,
29,ImageSearchBlock2,Standard,2,3,,,,,,,,,,,
30,Text,Standard,2,3,,,,,,,Github actions,,,,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,ASG Instance Refresh,,,,
32,ImageSearchBlock2,Standard,2,,,,,,,,,,,,
33,Amazon EC2 AMI,AWS,2,3,,,,,,,Amazon EC2 AMI,,,,
34,Process,Flowchart Shapes/Containers,2,3,,,,,,,Create launch template,,,,
35,Text,Standard,2,,,,,,,,Terraform Plan/Apply,,,,
36,Text,Standard,2,3,,,,,,,Continuous Integration and Continuous Deployment,,,,
37,Client,AWS,2,,,,,,,,Client,,,,
38,Internet,AWS,2,,,,,,,,Internet,,,,
39,ImageSearchBlock2,Standard,2,,,,,,,,,,,,
40,Servers,AWS,2,,,,,,,,Custom domain from Namecheap points to Route53 (via Name Servers),,,,
41,Text,Standard,2,,,,,,,,Domain Name,,,,
42,Text,Standard,2,,,,,,,,Request,,,,
43,Text,Standard,2,,,,,,,,Response,,,,
44,Process,Flowchart Shapes/Containers,2,,,,,,,,,,,,
45,Route table,AWS,2,4|8,,,,,,,Route table,,,,
46,Route table,AWS,2,4|8,,,,,,,Route table,,,,
47,Process,Flowchart Shapes/Containers,2,4|5|6|8,,,,,,,"Listener
HTTPS:443",,,,
48,Attributes,AWS,2,4|8|9,,,,,,,DB parameter group,,,,
49,Process,Flowchart Shapes/Containers,2,4|8,,,,,,,,,,,
50,AWS Secrets Manager,AWS,2,4|8,,,,,,,AWS Secrets Manager,,,,
51,Time Series Insights Access Policies,Azure,2,4|8,,,,,,,DB Password,,,,
52,AWS Key Management Service (AWS KMS),AWS,2,4|8,,,,,,,AWS Key Management Service ,,,,
53,Time Series Insights Access Policies,Azure,2,4|8,,,,,,,rds_key,,,,
54,Time Series Insights Access Policies,Azure,2,4|8,,,,,,,s3_key,,,,
55,Time Series Insights Access Policies,Azure,2,4|8,,,,,,,ec2_key,,,,
56,Time Series Insights Access Policies,Azure,2,4|8,,,,,,,kms_secrets_key,,,,
57,Process,Flowchart Shapes/Containers,2,8,,,,,,,,,,,
